course_name,course_id,review_id,content,rating,created,user_name
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,226022325,very useful,4.5,2026-01-07T06:20:43-08:00,pradnya rao
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,225593179,nice,5.0,2026-01-02T05:55:56-08:00,Prasankumar Bongale
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,225394311,"Bro don't give cat dog examples, Also you did not cover RAG.
Also, stop repeating the same thing 100 times. Its so annoying.",2.5,2025-12-30T08:42:06-08:00,Satyake Bakshi
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,224681231,Amazing,5.0,2025-12-21T13:24:46-08:00,Ankita Bhardwaj
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,224598089,"- The good: Probably, this is the most comprehensive Autogen course on Udemy.
- The bad: The content seems to be a collection of youtube videos.
- The ugly: The average video length is 20 mins.",3.0,2025-12-19T18:52:07-08:00,Carlos Campos
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,224454097,Good Python material.,4.5,2025-12-18T03:27:15-08:00,Roshan Gangurde
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,223449651,"The lectures are boringly slow. The instructor keeps repeating the same useless facts multiple times as if the student is an idiot. Having come this far, I have not learnt anything substantive about about Autogen more than what their home page already tells me.",2.5,2025-12-05T21:28:41-08:00,Manoj Agarwal
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,222892841,Very detailed explanation. Easy to follow for new person.,5.0,2025-11-29T23:22:39-08:00,Amit Muralkar
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,222617681,Terima Kasih,5.0,2025-11-26T10:38:51-08:00,Ismail Mohdhashim
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,222463227,Nice course on Autogen,5.0,2025-11-25T02:04:40-08:00,Subramanian Santhanam
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,222338753,great multi agent video,5.0,2025-11-23T22:47:51-08:00,Mallu Venkata Reddy
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,222278433,Really Amazing Course !!!,5.0,2025-11-22T22:32:58-08:00,Satyabrata Muduli
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,222225141,It's good.,3.5,2025-11-21T19:09:32-08:00,Aniket Gade
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,222137129,good,4.0,2025-11-20T19:06:30-08:00,Balaji R
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,222129349,its valueable,5.0,2025-11-20T15:58:34-08:00,Akshay Parandwal
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,221917003,awesome course,5.0,2025-11-18T10:57:42-08:00,Ankit Modi
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,221716469,Best Course I've found on Udemy,5.0,2025-11-16T07:05:48-08:00,Ravi Bassi
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,221275923,Good,5.0,2025-11-11T03:17:31-08:00,Adil Jamshid Husain
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,220851379,IT is perfect for me to learn autogen since i am a student of krish sir and i used 6 different udemy courses for my learning,5.0,2025-11-06T01:58:54-08:00,Aryan Singh
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,220494651,Very good guidance to setup the IDE,5.0,2025-11-02T12:46:29-08:00,Udemy User
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,220485865,Course content is good. Very well explained by the instructors and easy to follow.,5.0,2025-11-02T08:54:17-08:00,Yuvaraj Rajagopal Krishnaraj
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,220483903,great explanation by Mayank. hes a great teacher.,5.0,2025-11-02T08:09:28-08:00,Saurabh
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,220483683,"Amazing, above expectations!",5.0,2025-11-02T08:04:55-08:00,Gnaneshwari Pinna
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,220483527,Good course,5.0,2025-11-02T08:01:11-08:00,Satish Chandra
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,220483413,Great explanation.,5.0,2025-11-02T07:59:07-08:00,Rajesh Pabbati
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,220483411,Explained in a very detailed manner. highly helpful,5.0,2025-11-02T07:59:06-08:00,Mahesha Hanumanta Gonal
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,220479945,Great Presentation and Knowledge Share. Appreciate all the efforts taken to build this Course.,5.0,2025-11-02T06:37:01-08:00,Mohan Deval
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,220458757,Amazing. Excellent clarity,5.0,2025-11-01T21:56:42-07:00,Balaji Rengan
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,220458741,Amazing,4.5,2025-11-01T21:56:30-07:00,Zaki abdullahi mohamed
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,220458473,Nice content and easy explanation,5.0,2025-11-01T21:46:12-07:00,M Saifee
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,219996957,v slow and repetitive,3.0,2025-10-27T23:42:02-07:00,Deeksha Jasu
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,217468257,Great!,5.0,2025-09-27T10:14:19-07:00,Oluwaseun Alakanse
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,217357109,Very low sound,1.0,2025-09-26T00:56:11-07:00,Dipankar Bora
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,217350927,strong hands-on AutoGen coding experience. Good job !,4.0,2025-09-25T23:51:56-07:00,Diptiman Raichaudhuri
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,217327447,excellent tutorials !,5.0,2025-09-25T16:42:18-07:00,RnD Data Team Team
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,217016785,font size is very small,4.0,2025-09-22T22:47:29-07:00,Peddisetti Alekhya
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,216223991,A lot of redundancy and overlap. Many of the sessions overlap and a lot of time wasted watching the instructor correct silly mistakes. This course could be condensed to 25% of the time if the material was better-structured and edited.,3.0,2025-09-13T15:40:11-07:00,Juan Morales
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,215242275,good,4.0,2025-09-02T09:05:39-07:00,Nitesh Dhakad
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,215067981,Su inglés no es lo bueno que debería ser….se comprende regular.,1.0,2025-08-31T14:02:25-07:00,Alberto francesena
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,214913063,"The teaching throughout the course was excellent. One suggestion would be to include a few more projects using FastAPI, and show how to integrate them with basic frontend technologies like HTML or JavaScript.",5.0,2025-08-29T03:42:07-07:00,Meet Solanki
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,214864773,Excellent course,5.0,2025-08-28T14:28:39-07:00,Alish Namdev
Building AI Agents & Agentic AI System via Microsoft Autogen,6547301,214399767,"very good course, excited to learn the new framework",5.0,2025-08-23T09:38:49-07:00,Digvijay
