course_name,course_id,review_id,content,rating,created,user_name
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,226481619,Krish is such a great instructor and very sincere!,5.0,2026-01-12T16:49:19-08:00,Shankar Ranganathan
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,226323185,Explained in very detailed,4.5,2026-01-10T18:14:18-08:00,P S Suresh
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,226294333,A liitle less explanation soo time taking,3.5,2026-01-10T04:53:12-08:00,Vinod kumar
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,226278035,Best course 🥰,5.0,2026-01-09T21:59:58-08:00,Aditya Kadam
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,226245535,"If any questions related to the task, no one here to reply.",3.0,2026-01-09T08:50:34-08:00,Alpesh Patel
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,226177433,"thanks for this info, it is more",5.0,2026-01-08T18:37:30-08:00,Jotheeswaran R
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,225966121,"I took this course to get a structured, end-to-end introduction to building agentic AI systems with LangGraph and LangChain, and it does a good job covering both the concepts and the practical implementation. It starts from the fundamentals of agentic AI and gradually moves into building real workflows, single-agent and multi-agent systems, memory, tools, and RAG-style applications. The course is long and detailed, and if you follow along, you come away with a solid understanding of how these frameworks are actually used in practice.

The main tradeoff is that the pacing can sometimes feel slow or repetitive, and some sections go deeper into setup or code mechanics than strictly necessary, while a few advanced topics (like deployment or more production-level patterns) could be expanded further. That said, for developers who want a thorough, step-by-step path into LangGraph-based agent systems and don’t mind a very detailed, classroom-style approach, this is a strong and useful course.",5.0,2026-01-06T20:32:48-08:00,Viorel Mirea
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,225888937,good,5.0,2026-01-06T02:56:46-08:00,Tatapudi naga Phaneendra
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,225888249,all good,5.0,2026-01-06T02:49:56-08:00,Umesh Chauhan
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,225853949,Nice,5.0,2026-01-05T20:42:28-08:00,Bhoopesh Verma
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,225766917,Really good learning,4.5,2026-01-05T01:23:56-08:00,Sudeep Pirangi
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,225756063,"Krish explains the concept very well on the Langchain, langraph etc, however as we go into the projects etc, it takes a front end developer mode, etc & get confused & also python deep dive is not required as people are taking the course for Agentic AI and not Python etc. 

Flow needs to be improved as video are repeated for the OpenAI keys etc...and also 90% uses OpenAI with a 5$ credit and should focus on 1 or 2 LLM than showing bunch of LLM.",2.0,2026-01-04T23:29:56-08:00,Vivek Prabhu
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,225615845,"Really good course, very good content covering from basic to advanced concepts.",4.5,2026-01-02T10:57:55-08:00,Bhumeshwar Sarswat
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,225387801,"Amazing content, Mr. Krish! I don’t think anyone explains building agents with LangChain better than you. I can tell you invested a lot of time recording these videos, and the value of the content far exceeds its price.

Best regards,
Venkat Anampudi",5.0,2025-12-30T07:33:19-08:00,VENKAT ANAMPUDI
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,225369653,.,4.5,2025-12-30T04:23:46-08:00,Jitendra Kumar
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,225364567,"Krish has put in a tremendous amount of effort in designing the curriculum and explaining the topics step by step. The course is well-structured and easy to follow, which makes learning enjoyable. I really appreciate the clarity and logical flow throughout the sessions.
That said, there are a few areas where improvements could make this course even better:

At some instances, more practical and relatable examples could have been used to strengthen understanding.
The final projects could have emphasized advanced concepts like memory chains, retrievers, and other tools—perhaps building a full-fledged chatbot as a capstone project.
In certain sections, Krish seemed to run through the code quickly; a bit more in-depth explanation of the underlying logic would have added great value.

Overall, it’s a very good course and I learned a lot. Thank you, Krish, for your hard work and dedication!",4.5,2025-12-30T03:29:48-08:00,Love Kushal Vaish
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,225302597,This is great course. Krish taught all the topics and sections very sequentially and covered all the basics. it would have been great if deployment to cloud sections gets included in future for this course. I am still completing the course and will update my feedback if needed.,4.5,2025-12-29T11:32:01-08:00,Ganesh Patel
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,225225683,all the course from krish naik is as usual covers in depth. pls keep creating good contents like this.,5.0,2025-12-28T21:51:14-08:00,Avinash Jethy
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,225202877,"Absolutely poor course ! My fingers hurt from skipping the same explanation 100 times. In the whole course, he pastes some text, keeps reading it 3-4 times in a loop, and asks if we understood. I'd rather read the langchain docs myself rather than waste my time here.",1.0,2025-12-28T11:48:54-08:00,Hloriia Ziubrovska
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,225192041,"so much lag, and redundant content i felt.",1.0,2025-12-28T07:45:22-08:00,Teja Polisetty
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,225097771,The agent is talking about the same thing over and over again and getting off-track from the topic,1.0,2025-12-26T10:50:24-08:00,MD Rashid Hussain
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,225054177,Awesome,5.0,2025-12-26T00:15:22-08:00,Anonymized User
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,225048961,It covers more topics and less focused on specific topics,3.5,2025-12-25T23:06:05-08:00,Nipun Malik
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,225033781,excellent explanation,5.0,2025-12-25T18:39:04-08:00,Raghava Nalla
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,225011355,Initial review,4.5,2025-12-25T07:01:09-08:00,Narendra Reddy Kadiri
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,224947025,very good,4.5,2025-12-24T06:09:08-08:00,MOHAMMAD ALI KHAN
Complete Agentic AI Bootcamp With LangGraph and Langchain,6487885,224882423,"Excellent and lengthy course. Very detailed explanation. Some places looked repetitive that helped in revising. I wish the course could cover more about MCP, deploying the solutions to cloud services, use of CI/CD and A2A, AGUI protocol, crew AI, N8N etc.",5.0,2025-12-23T12:39:00-08:00,Ankit Jain
